2016.05.11,22:00,1.44540,1.44544,1.44410,1.44418,2360
2016.05.11,23:00,1.44420,1.44492,1.44413,1.44474,1852
2016.05.12,00:00,1.44474,1.44543,1.44421,1.44431,1095
2016.05.12,01:00,1.44430,1.44457,1.44359,1.44377,2204
2016.05.12,02:00,1.44381,1.44394,1.44341,1.44343,1819
2016.05.12,03:00,1.44346,1.44443,1.44346,1.44439,2673
2016.05.12,04:00,1.44438,1.44504,1.44371,1.44391,3049
2016.05.12,05:00,1.44390,1.44446,1.44356,1.44383,2215
2016.05.12,06:00,1.44384,1.44410,1.44375,1.44393,1506
2016.05.12,07:00,1.44392,1.44475,1.44373,1.44391,2015
2016.05.12,08:00,1.44391,1.44394,1.44315,1.44342,2387
2016.05.12,09:00,1.44342,1.44457,1.44198,1.44226,4921
2016.05.12,10:00,1.44225,1.44294,1.44059,1.44254,8279
2016.05.12,11:00,1.44251,1.44460,1.44193,1.44344,6843
2016.05.12,12:00,1.44340,1.44574,1.44325,1.44570,7814
2016.05.12,13:00,1.44571,1.44653,1.44323,1.44323,6850
2016.05.12,14:00,1.44412,1.44975,1.44337,1.44457,10358
2016.05.12,15:00,1.44459,1.44831,1.44322,1.44780,8806
2016.05.12,16:00,1.44780,1.45307,1.44688,1.45206,10793
2016.05.12,17:00,1.45203,1.45222,1.44939,1.45030,9474
2016.05.12,18:00,1.45027,1.45032,1.44502,1.44512,8314
2016.05.12,19:00,1.44512,1.44651,1.44443,1.44641,5438
2016.05.12,20:00,1.44641,1.44660,1.44393,1.44429,3764
2016.05.12,21:00,1.44430,1.44555,1.44421,1.44517,3199
2016.05.12,22:00,1.44518,1.44569,1.44461,1.44485,2450
2016.05.12,23:00,1.44487,1.44538,1.44414,1.44479,2051
2016.05.13,00:00,1.44489,1.44543,1.44401,1.44417,1499
2016.05.13,01:00,1.44417,1.44481,1.44417,1.44477,2322
2016.05.13,02:00,1.44477,1.44523,1.44430,1.44440,1957
2016.05.13,03:00,1.44440,1.44476,1.44369,1.44401,2690
2016.05.13,04:00,1.44401,1.44453,1.44234,1.44294,3848
2016.05.13,05:00,1.44294,1.44346,1.44282,1.44327,2772
2016.05.13,06:00,1.44327,1.44381,1.44317,1.44373,2397
2016.05.13,07:00,1.44374,1.44466,1.44364,1.44416,1685
